Bus_ID,Route,Latitude,Longitude,Traffic,Weather,Arrival_Time
B1000,Route-19,13.165997,80.279598,Medium,Foggy,21
B1001,Route-2,12.966854,80.14286,Low,Cloudy,13
B1002,Route-12,12.800389,80.397663,Medium,Foggy,17
B1003,Route-20,12.99993,80.114,Low,Cloudy,12
B1004,Route-4,13.103772,80.151157,Medium,Sunny,17
B1005,Route-15,12.992708,80.10479,High,Cloudy,23
B1006,Route-18,13.216597,80.152009,Medium,Cloudy,15
B1007,Route-18,13.060034,80.264013,Medium,Sunny,19
B1008,Route-8,13.247414,80.27937,High,Foggy,31
B1009,Route-13,13.069846,80.276025,High,Rainy,34
B1010,Route-12,12.837275,80.396066,Low,Rainy,18
B1011,Route-5,12.899421,80.313403,Low,Sunny,7
B1012,Route-16,13.25748,80.355012,High,Cloudy,20
B1013,Route-3,13.132961,80.277389,Medium,Cloudy,19
B1014,Route-9,13.156622,80.328236,Medium,Sunny,21
B1015,Route-20,13.019668,80.160516,Medium,Sunny,16
B1016,Route-7,12.869666,80.281325,Medium,Cloudy,19
B1017,Route-6,13.264849,80.342436,Low,Sunny,17
B1018,Route-7,13.008255,80.364984,Medium,Sunny,22
B1019,Route-7,13.123845,80.100156,High,Sunny,27
B1020,Route-15,13.042415,80.307731,Low,Cloudy,19
B1021,Route-20,13.079051,80.221151,Low,Sunny,6
B1022,Route-17,13.156135,80.144426,Low,Cloudy,14
B1023,Route-2,12.816525,80.203521,High,Sunny,19
B1024,Route-17,13.076447,80.277809,Medium,Sunny,18
B1025,Route-6,13.116153,80.290059,Medium,Sunny,10
B1026,Route-19,12.962979,80.166072,Medium,Rainy,27
B1027,Route-8,13.270262,80.219272,Low,Sunny,12
B1028,Route-7,12.856737,80.377408,Low,Sunny,16
B1029,Route-16,13.0776,80.258895,Medium,Rainy,17
B1030,Route-19,13.241318,80.156612,High,Cloudy,29
B1031,Route-11,13.243543,80.333963,Medium,Rainy,26
B1032,Route-18,13.134494,80.274206,High,Rainy,33
B1033,Route-1,13.145948,80.295588,Low,Cloudy,18
